image,name,range,effeciency,battery,price
https://ev-database.org/img/auto/DS_No8_2024/DS_No8_2024-01-thumb.jpg,DS,545 km,178 Wh/km,97.2 kWh,"€63,200"
https://ev-database.org/img/auto/BMW_i7_M70_2023/BMW_i7_M70_2023-01-thumb.jpg,BMWi7,490 km,208 Wh/km,101.7 kWh,"€181,800"
https://ev-database.org/img/auto/Nissan_Ariya_Nismo/Nissan_Ariya_Nismo-01-thumb.jpg,NissanAriya,385 km,226 Wh/km,87.0 kWh,"€63,990"
https://ev-database.org/img/auto/Audi_e-tron_GT_S_2025/Audi_e-tron_GT_S_2025-01-thumb.jpg,Audie-tron,540 km,180 Wh/km,97.0 kWh,"€108,900"
https://ev-database.org/img/auto/Skoda_Enyaq_RS_2025/Skoda_Enyaq_RS_2025-01-thumb.jpg,ŠkodaEnyaq,460 km,172 Wh/km,79.0 kWh,"€56,490"
https://ev-database.org/img/auto/TOGG_T10F/TOGG_T10F-01-thumb.jpg,TOGGT10F,295 km,169 Wh/km,50.0 kWh,"€34,295"
https://ev-database.org/img/auto/Volkswagen_ID5_2024/Volkswagen_ID5_2024-01-thumb.jpg,VolkswagenID.5,455 km,169 Wh/km,77.0 kWh,"€51,270"
https://ev-database.org/img/auto/Volvo_EX90/Volvo_EX90-01-thumb.jpg,VolvoEX90,480 km,213 Wh/km,102.0 kWh,"€96,190"
https://ev-database.org/img/auto/Volkswagen_ID_Buzz_GTX/Volkswagen_ID_Buzz_GTX-01-thumb.jpg,VolkswagenID.,380 km,226 Wh/km,86.0 kWh,"€74,928"
https://ev-database.org/img/auto/Mercedes_EQS_SUV_2022/Mercedes_EQS_SUV_2022-01-thumb.jpg,Mercedes-BenzEQS,530 km,223 Wh/km,118.0 kWh,"€147,923"
https://ev-database.org/img/auto/Citroen_e-C3_Aircross/Citroen_e-C3_Aircross-01-thumb.jpg,Citroënë-C3,240 km,183 Wh/km,43.8 kWh,"€26,490"
https://ev-database.org/img/auto/Polestar_3/Polestar_3-01-thumb.jpg,Polestar3,530 km,202 Wh/km,107.0 kWh,"€78,590"
https://ev-database.org/img/auto/Hongqi_E-HS9/Hongqi_E-HS9-01-thumb.jpg,HongqiE-HS9,320 km,239 Wh/km,76.5 kWh,"€69,995"
https://ev-database.org/img/auto/Porsche_Taycan_2024/Porsche_Taycan_2024-01-thumb.jpg,PorscheTaycan,490 km,168 Wh/km,82.3 kWh,"€120,900"
https://ev-database.org/img/auto/Mini_Cooper_Electric_JCW_2024/Mini_Cooper_Electric_JCW_2024-01-thumb.jpg,MiniCooper,290 km,170 Wh/km,49.2 kWh,"€40,650"
https://ev-database.org/img/auto/Smart_1_2023/Smart_1_2023-01-thumb.jpg,Smart#1,335 km,185 Wh/km,62.0 kWh,"€44,990"
https://ev-database.org/img/auto/Cupra_el-Born/Cupra_el-Born-01-thumb.jpg,CUPRABorn,360 km,164 Wh/km,59.0 kWh,"€41,450"
https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg,Polestar2,450 km,176 Wh/km,79.0 kWh,"€63,490"
https://ev-database.org/img/auto/Lexus_UX_300e_Electric_2023/Lexus_UX_300e_Electric_2023-01-thumb.jpg,LexusUX,340 km,188 Wh/km,64.0 kWh,"£39,995"
https://ev-database.org/img/auto/NIO_ET5_Touring/NIO_ET5_Touring-01-thumb.jpg,NIOET5,485 km,186 Wh/km,90.0 kWh,"€68,500"
https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg,Mercedes-BenzEQE,555 km,173 Wh/km,96.0 kWh,"€71,412"
https://ev-database.org/img/auto/XPENG_P7/XPENG_P7-01-thumb.jpg,XPENGP7,460 km,180 Wh/km,82.7 kWh,"€58,600"
https://ev-database.org/img/auto/Skoda_Enyaq_2025/Skoda_Enyaq_2025-01-thumb.jpg,ŠkodaEnyaq,455 km,169 Wh/km,77.0 kWh,"€51,500"
https://ev-database.org/img/auto/Audi_Q6_etron_2024/Audi_Q6_etron_2024-01-thumb.jpg,AudiQ6,490 km,194 Wh/km,94.9 kWh,"€68,800"
https://ev-database.org/img/auto/Skoda_Elroq_2024/Skoda_Elroq_2024-01-thumb.jpg,ŠkodaElroq,445 km,173 Wh/km,77.0 kWh,"€46,450"
https://ev-database.org/img/auto/Volkswagen_ID7/Volkswagen_ID7-01-thumb.jpg,VolkswagenID.7,475 km,162 Wh/km,77.0 kWh,"€54,105"
https://ev-database.org/img/auto/DS_No8_2024/DS_No8_2024-01-thumb.jpg,DS,530 km,183 Wh/km,97.2 kWh,"€75,000"
https://ev-database.org/img/auto/BMW_i7_2022/BMW_i7_2022-01-thumb.jpg,BMWi7,520 km,196 Wh/km,101.7 kWh,"€115,700"
https://ev-database.org/img/auto/Fiat_500e_Hatchback_2020/Fiat_500e_Hatchback_2020-01-thumb.jpg,Fiat500e,135 km,158 Wh/km,21.3 kWh,"€30,990"
https://ev-database.org/img/auto/Dacia_Spring_Electric_2026/Dacia_Spring_Electric_2026-01-thumb.jpg,DaciaSpring,165 km,145 Wh/km,24.0 kWh,"€16,900"
https://ev-database.org/img/auto/Mercedes_EQA_2024/Mercedes_EQA_2024-01-thumb.jpg,Mercedes-BenzEQA,350 km,190 Wh/km,66.5 kWh,"€53,520"
https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg,Polestar2,405 km,165 Wh/km,67.0 kWh,"€48,990"
https://ev-database.org/img/auto/BMW_i5_eDrive40_Touring/BMW_i5_eDrive40_Touring-01-thumb.jpg,BMWi5,465 km,175 Wh/km,81.2 kWh,"€72,200"
https://ev-database.org/img/auto/Lexus_RZ_2026/Lexus_RZ_2026-01-thumb.jpg,LexusRZ,400 km,180 Wh/km,72.0 kWh,"€57,100"
https://ev-database.org/img/auto/Volvo_EX30_CrossCountry/Volvo_EX30_CrossCountry-01-thumb.jpg,VolvoEX30,330 km,197 Wh/km,65.0 kWh,"€57,290"
https://ev-database.org/img/auto/Audi_Q4_e-tron_Sportback_2021/Audi_Q4_e-tron_Sportback_2021-01-thumb.jpg,AudiQ4,435 km,177 Wh/km,77.0 kWh,"€54,950"
https://ev-database.org/img/auto/Ford_Mustang_Mach-E/Ford_Mustang_Mach-E-01-thumb.jpg,FordMustang,425 km,214 Wh/km,91.0 kWh,"£67,550"
https://ev-database.org/img/auto/Smart_5_2025/Smart_5_2025-01-thumb.jpg,Smart#5,465 km,202 Wh/km,94.0 kWh,"€50,900"
https://ev-database.org/img/auto/Kia_PV5_Passenger/Kia_PV5_Passenger-01-thumb.jpg,KiaPV5,230 km,209 Wh/km,48.0 kWh,"€38,290"
https://ev-database.org/img/auto/Audi_Q6_etron_2024/Audi_Q6_etron_2024-01-thumb.jpg,AudiQ6,395 km,192 Wh/km,75.8 kWh,"€63,500"
https://ev-database.org/img/auto/Zeekr_X_2023/Zeekr_X_2023-01-thumb.jpg,ZeekrX,360 km,181 Wh/km,65.0 kWh,"€43,490"
https://ev-database.org/img/auto/Abarth_500e_Hatchback/Abarth_500e_Hatchback-01-thumb.jpg,Abarth500e,225 km,168 Wh/km,37.8 kWh,"€37,990"
https://ev-database.org/img/auto/Skoda_Enyaq_Coupe_2025/Skoda_Enyaq_Coupe_2025-01-thumb.jpg,ŠkodaEnyaq,370 km,159 Wh/km,59.0 kWh,"€46,850"
https://ev-database.org/img/auto/Peugeot_e-408_2024/Peugeot_e-408_2024-01-thumb.jpg,Peugeote-408,350 km,167 Wh/km,58.3 kWh,"€44,600"
https://ev-database.org/img/auto/Mini_Aceman_Electric_2024/Mini_Aceman_Electric_2024-01-thumb.jpg,MiniAceman,290 km,170 Wh/km,49.2 kWh,"€39,550"
https://ev-database.org/img/auto/Toyota_Urban_Cruiser/Toyota_Urban_Cruiser-01-thumb.jpg,ToyotaUrban,330 km,181 Wh/km,59.8 kWh,"€36,990"
https://ev-database.org/img/auto/VinFast_VF_8/VinFast_VF_8-01-thumb.jpg,VinFastVF,405 km,217 Wh/km,87.7 kWh,"€52,990"
https://ev-database.org/img/auto/Skoda_Enyaq_2025/Skoda_Enyaq_2025-01-thumb.jpg,ŠkodaEnyaq,450 km,171 Wh/km,77.0 kWh,"£48,760"
https://ev-database.org/img/auto/Renault_4_ETech/Renault_4_ETech-01-thumb.jpg,Renault4,245 km,163 Wh/km,40.0 kWh,"€29,400"
https://ev-database.org/img/auto/Smart_5_2025/Smart_5_2025-01-thumb.jpg,Smart#5,370 km,201 Wh/km,74.4 kWh,"€45,900"
https://ev-database.org/img/auto/Volkswagen_ID3_GTX_Performance_2024/Volkswagen_ID3_GTX_Performance_2024-01-thumb.jpg,VolkswagenID.3,465 km,170 Wh/km,79.0 kWh,"€48,725"
https://ev-database.org/img/auto/Skoda_Elroq_RS_2025/Skoda_Elroq_RS_2025-01-thumb.jpg,ŠkodaElroq,450 km,176 Wh/km,79.0 kWh,"€52,990"
